Produto;preco;link
"Xiaomi Mi Smart Band 5 1.1"" caixa de  plástico pc  black, pulseira  black XMSH10HM";194,90;https://www.mercadolivre.com.br/xiaomi-mi-smart-band-5-11-caixa-de-plastico-pc-black-pulseira-black-xmsh10hm/p/MLB15963018?pdp_filters=category:MLB135384#searchVariation=MLB15963018&position=1&search_layout=stack&type=product&tracking_id=da35f7e8-8588-47bf-8b8c-ab8f4fc073bd
Kit Com 5 Pulseiras Para Mi Band 5 E Amazfit Band 5 Silicone;39,50;https://produto.mercadolivre.com.br/MLB-1799046187-kit-com-5-pulseiras-para-mi-band-5-e-amazfit-band-5-silicone-_JM?searchVariation=76789005098#searchVariation=76789005098&position=6&search_layout=stack&type=item&tracking_id=da35f7e8-8588-47bf-8b8c-ab8f4fc073bd
Xiaomi Mi Smart Band 5 1.1   Black, Pulseira  Black Xmsh10hm;180,00;https://produto.mercadolivre.com.br/MLB-2990572013-xiaomi-mi-smart-band-5-11-black-pulseira-black-xmsh10hm-_JM?searchVariation=175915758828#searchVariation=175915758828&position=7&search_layout=stack&type=item&tracking_id=da35f7e8-8588-47bf-8b8c-ab8f4fc073bd
Relógio Inteligente Xiaomi Miband 5 Lançamento Com Nf;239,14;https://produto.mercadolivre.com.br/MLB-1630449789-relogio-inteligente-xiaomi-miband-5-lancamento-com-nf-_JM?searchVariation=174382124802#searchVariation=174382124802&position=10&search_layout=stack&type=item&tracking_id=da35f7e8-8588-47bf-8b8c-ab8f4fc073bd
Kit 5 Pulseira Miband 5 Original Premium Diversas Cores M5;55,90;https://produto.mercadolivre.com.br/MLB-1838310218-kit-5-pulseira-miband-5-original-premium-diversas-cores-m5-_JM?searchVariation=80281602710#searchVariation=80281602710&position=11&search_layout=stack&type=item&tracking_id=da35f7e8-8588-47bf-8b8c-ab8f4fc073bd
"Xiaomi Mi Smart Band 6 1.56"" caixa de  plástico pc  black, pulseira  black XMSH15HM";206,97;https://www.mercadolivre.com.br/xiaomi-mi-smart-band-6-156-caixa-de-plastico-pc-black-pulseira-black-xmsh15hm/p/MLB17796174?pdp_filters=category:MLB135384#searchVariation=MLB17796174&position=2&search_layout=stack&type=product&tracking_id=da35f7e8-8588-47bf-8b8c-ab8f4fc073bd
Kit 5 Com Pulseira Colorida Extra Mi Band 5 Pronta Entrega;32,40;https://produto.mercadolivre.com.br/MLB-2092517885-kit-5-com-pulseira-colorida-extra-mi-band-5-pronta-entrega-_JM?searchVariation=173932884468#searchVariation=173932884468&position=12&search_layout=stack&type=item&tracking_id=da35f7e8-8588-47bf-8b8c-ab8f4fc073bd
Xiaomi Mi Band 6 Versao Global + 3 Pulseira + 1 Pelicula M63;244,88;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=GkohQHHYR%2BZa83fJonWZrNhjpCOIuUn6C4WhFB8eVXWjfFa8lkEyHNY7UPIgggo23H83CzC0YtB828MxnRGSeyL3cgrnLc0UNfel37GGCQUtJEWZe7T%2B%2FeJ03SdeWqlpBUo489JJHlUkIG5EKtQg52KPghs%2BNBeeIQ0T%2Fchc9IQTbs7ggQflF95Dklz31b0nKensBRKabArD0LP06ss4cOahRpihhQY5%2BNB8ZxyH0hIbtOaeAutc%2FgY2K3aGr60JnK8fdWtsFUZJe2tjt%2FWKCByDy6M2K9r7ghVDrw5Uh3qBesrt9pZdJBsdTklJzlPreAZgzDMNcWvdXcgH1gXs0LvCR5BtAsmhEcoc%2FKyPpF3kHj6bjKNpdKKczqHaG0sgpg9mpubDHgQJRvj3T8Q5EKyFVWEo07n%2Fp%2BuhLQbFmCjL9lMExW5WnESiM3vVrZVJmBdfDiLD8SoJbT9ydQInmx2tV%2B7jc%2BVihXOh6zjOZ95J52JcT%2BzFEYfM0Xb8yasUgXAvPd9yebY9pKnwUjcZ5mh%2FSXv3kve4ijTEULwumnDlWfamp%2B%2FAEB%2B2ouxXUPBnTuSZUj6H3uqUFVQgt07b04M5ZphBfyPerrbWfi6a2BVu6Rw2%2FbTEeXTdP9kTwfCoQlGSMnf%2BEiBbJcic2PXzuQGPG3E9dETDkYXxL8s%2BcQC%2B7BtQnk5AYfazhjSgEkLEzEpZkadkJRF3V8JYJkf%2FkwYMfK0S11OhYypBDgdCUFPzWSBX%2FTvV%2BzgQLFtwhcCYAScDH%2FzdAAOF7txt0Q%3D%3D&rb=x
Xiaomi Mi Band 6 Versao Global + 3 Pulseira + 1 Pelicula M63;254,88;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=mfHemhchQ4pk1OOMn2w%2BAJVREdECAABZk08Cy7nsB%2Fp2Mahs6GaQi54aBx0%2F6G0ImIKz6HNQfcMORRtUt35roDbMUOr8%2F8siPNw%2B0lrL8ZfUQJD32aEZvKHoo0RLuVDzvhJjY%2Bz8MaI3HX9NXrmI10DjKiVBOtkzq5etoi1XKJuTq%2BiI4SBjWbiBdwEtqB%2FxVMnYAuhZxH1ViAkfkWeDTq6KmTW4IUAuqCu29JTqWSyijyGLv%2FwNI0brVp84IdTRBin3Ah92VWMoM9eagdMjLKoLjRs46Co3revjdVec%2FJRlQpBR%2BxEHMUnch6XiXJrA5OutMjsG5%2FCMyuVc6S0nD5r7zH2jbsLnCfCxuTEXF6e5KVma%2FlFYLHLDCpsxathqrNL6LdwQ6jXvicxwkrLiJCCHh9eLYkEGxlxiJgtuz0Ccv4Sp8qGjfDB22zFCsExAuy41JbZkfp%2BdIdIOsPluKHC%2FVBuN4cb0ZaxCVaCxdSlpcZMBdQP8SxevaQrWM3SGc09Lp2SY5LFrpFhPWAKpuMs5DlsyNxmRaze%2F8M7SYVEFMMmRPf7zup2xY08R4vy2EQ7G19vOfZTzzDv126vvedJkYHVAqgChKRPVAqA4aKKtqN2SdklFGe92K2%2BpNJiH0CG2ANYtS0ZszW7Iuqw6laKA75TZI%2BoGY8cSSmfPDxEiRpC1qEqFONIaocWFr96j%2FxaoaE1Ah00K%2FaqWIPESFII8TUK77sSvHhIxLSp06xJaSs%2FRPy4NsmkHgCzBrpiChaik8nmjCpuyjA%3D%3D&rb=x
Pulseira Mi Band 5 Metal Inoxidável C/ Ajuste Magnético;42,50;https://produto.mercadolivre.com.br/MLB-1833681203-pulseira-mi-band-5-metal-inoxidavel-c-ajuste-magnetico-_JM?searchVariation=79640640678#searchVariation=79640640678&position=13&search_layout=stack&type=item&tracking_id=da35f7e8-8588-47bf-8b8c-ab8f4fc073bd
